IATA	lat	lon	ICAO	time_zone	name	city	country
'YHB'	52.81669998	-102.310997	'CYHB'	'America/Regina'	'Hudson Bay Airport'	'Hudson Bay'	'Canada'
'YHD'	49.83169937	-92.74420166	'CYHD'	'America/Winnipeg'	'Dryden Regional Airport'	'Dryden'	'Canada'
'YHI'	70.76280212	-117.8059998	'CYHI'	'America/Edmonton'	'Ulukhaktok Holman Airport'	'Holman Island'	'Canada'
'YHK'	68.63559723	-95.84970093	'CYHK'	'America/Edmonton'	'Gjoa Haven Airport'	'Gjoa Haven'	'Canada'
'YHM'	43.17359924	-79.93499756	'CYHM'	'America/Toronto'	'John C. Munro Hamilton International Airport'	'Hamilton'	'Canada'
'YHU'	45.51750183	-73.41690063	'CYHU'	'America/Toronto'	'Montréal / Saint-Hubert Airport'	'Montreal'	'Canada'
'YHY'	60.83969879	-115.7829971	'CYHY'	'America/Edmonton'	'Hay River / Merlyn Carter Airport'	'Hay River'	'Canada'
'YHZ'	44.88079834	-63.50859833	'CYHZ'	'America/Halifax'	'Halifax / Stanfield International Airport'	'Halifax'	'Canada'
'YIB'	48.77389908	-91.63860321	'CYIB'	'America/Coral_Harbour'	'Atikokan Municipal Airport'	'Atikokan'	'Canada'
'YIO'	72.6832962	-77.96669769	'CYIO'	'America/Toronto'	'Pond Inlet Airport'	'Pond Inlet'	'Canada'
'YJN'	45.29439926	-73.28109741	'CYJN'	'America/Toronto'	'St Jean Airport'	'St. Jean'	'Canada'
'YJT'	48.5442009	-58.54999924	'CYJT'	'America/St_Johns'	'Stephenville Airport'	'Stephenville'	'Canada'
'YKA'	50.70220184	-120.4440002	'CYKA'	'America/Vancouver'	'Kamloops Airport'	'Kamloops'	'Canada'
'YKF'	43.46080017	-80.37860107	'CYKF'	'America/Toronto'	'Waterloo Airport'	'Waterloo'	'Canada'
'YKL'	54.80530167	-66.80529785	'CYKL'	'America/Toronto'	'Schefferville Airport'	'Schefferville'	'Canada'
'YKY'	51.51750183	-109.1809998	'CYKY'	'America/Regina'	'Kindersley Airport'	'Kindersley'	'Canada'
'YKZ'	43.86220169	-79.37000275	'CYKZ'	'America/Toronto'	'Buttonville Municipal Airport'	'Toronto'	'Canada'
'YLD'	47.81999969	-83.34670258	'CYLD'	'America/Toronto'	'Chapleau Airport'	'Chapleau'	'Canada'
'YLJ'	54.12530136	-108.5230026	'CYLJ'	'America/Regina'	'Meadow Lake Airport'	'Meadow Lake'	'Canada'
'YLL'	53.30920029	-110.072998	'CYLL'	'America/Edmonton'	'Lloydminster Airport'	'Lloydminster'	'Canada'
'YLT'	82.51779938	-62.2806015	'CYLT'	'America/Toronto'	'Alert Airport'	'Alert'	'Canada'
'YLW'	49.95610046	-119.3779984	'CYLW'	'America/Vancouver'	'Kelowna International Airport'	'Kelowna'	'Canada'
'YMA'	63.61640167	-135.8679962	'CYMA'	'America/Vancouver'	'Mayo Airport'	'Mayo'	'Canada'
'YMJ'	50.33029938	-105.5589981	'CYMJ'	'America/Regina'	'Moose Jaw Air Vice Marshal C. M. McEwen Airport'	'Moose Jaw'	'Canada'
'YMM'	56.65330124	-111.2220001	'CYMM'	'America/Edmonton'	'Fort McMurray Airport'	'Fort Mcmurray'	'Canada'
'YMO'	51.29109955	-80.60780334	'CYMO'	'America/Toronto'	'Moosonee Airport'	'Moosonee'	'Canada'
'YMW'	46.27280045	-75.99060059	'CYMW'	'America/Toronto'	'Maniwaki Airport'	'Maniwaki'	'Canada'
'YMX'	45.67950058	-74.03869629	'CYMX'	'America/Toronto'	'Montreal International (Mirabel) Airport'	'Montreal'	'Canada'
'YNA'	50.18999863	-61.78919983	'CYNA'	'America/Toronto'	'Natashquan Airport'	'Natashquan'	'Canada'
'YND'	45.52170181	-75.56359863	'CYND'	'America/Toronto'	'Ottawa / Gatineau Airport'	'Gatineau'	'Canada'
'YNM'	49.76169968	-77.80280304	'CYNM'	'America/Toronto'	'Matagami Airport'	'Matagami'	'Canada'
'YOC'	67.57060242	-139.8390045	'CYOC'	'America/Vancouver'	'Old Crow Airport'	'Old Crow'	'Canada'
'YOD'	54.40499878	-110.2789993	'CYOD'	'America/Edmonton'	'CFB Cold Lake'	'Cold Lake'	'Canada'
'YOJ'	58.62139893	-117.1650009	'CYOJ'	'America/Edmonton'	'High Level Airport'	'High Level'	'Canada'
'YOW'	45.32249832	-75.66919708	'CYOW'	'America/Toronto'	'Ottawa Macdonald-Cartier International Airport'	'Ottawa'	'Canada'
'YPA'	53.21419907	-105.6729965	'CYPA'	'America/Regina'	'Prince Albert Glass Field'	'Prince Albert'	'Canada'
'YPE'	56.22689819	-117.4469986	'CYPE'	'America/Edmonton'	'Peace River Airport'	'Peace River'	'Canada'
'YPG'	49.903099	-98.273817	'CYPG'	'America/Winnipeg'	'Southport Airport'	'Portage-la-prairie'	'Canada'
'\N'	49.21609879	-122.7099991	'CYPK'	'America/Vancouver'	'Pitt Meadows Airport'	'Pitt Meadows'	'Canada'
'YPL'	51.44639969	-90.21420288	'CYPL'	'America/Coral_Harbour'	'Pickle Lake Airport'	'Pickle Lake'	'Canada'
'YPN'	49.83639908	-64.28859711	'CYPN'	'America/Toronto'	'Port Menier Airport'	'Port Menier'	'Canada'
'YPQ'	44.22999954	-78.36329651	'CYPQ'	'America/Toronto'	'Peterborough Airport'	'Peterborough'	'Canada'
'YPR'	54.28609848	-130.4450073	'CYPR'	'America/Vancouver'	'Prince Rupert Airport'	'Prince Pupert'	'Canada'
'YPY'	58.76720047	-111.1169968	'CYPY'	'America/Edmonton'	'Fort Chipewyan Airport'	'Fort Chipewyan'	'Canada'
'YQA'	44.97470093	-79.30329895	'CYQA'	'America/Toronto'	'Muskoka Airport'	'Muskoka'	'Canada'
'YQB'	46.7911	-71.393303	'CYQB'	'America/Toronto'	'Quebec Jean Lesage International Airport'	'Quebec'	'Canada'
'YQF'	52.18220139	-113.8939972	'CYQF'	'America/Edmonton'	'Red Deer Regional Airport'	'Red Deer Industrial'	'Canada'
'YQG'	42.27560043	-82.95559692	'CYQG'	'America/Toronto'	'Windsor Airport'	'Windsor'	'Canada'
'YQH'	60.11640167	-128.8220062	'CYQH'	'America/Vancouver'	'Watson Lake Airport'	'Watson Lake'	'Canada'
