OACI	LATITUDE	LONGITUDE	ALTITUDE
SNBL	15d52'17"S	38d52'21"W	10
SNB	21d7'44"S	42d22'1"W	270
SNBR	12d4'45"S	45d0'34"W	748
SNBS	7d31'31"S	46d3'12"W	284
SNBX	11d4'52"S	43d8'51"W	389
SNBZ	13d29'26"S	42d13'45"W	627
SNCA	20d53'33"S	45d20'8"W	970
SNCE	21d6'22"S	45d48'17"W	780
SNCS	7d2'58"S	40d21'51"W	610
SNCT	19d43'31"S	42d6'40"W	599
SNCU	1d49'16"S	44d52'1"W	12
SNCV	19d32'17"S	49d29'42"W	550
SNCX	19d29'15"S	40d34'46"W	153
SNCZ	20d24'11"S	42d55'0"W	572
SNDC	8d1'52"S	49d58'47"W	207
SNDT	18d13'56"S	43d39'1"W	1356
SNDV	20d10'55"S	44d52'12"W	795
SNDW	15d31'10"S	40d52'21"W	826
SNEB	3d1'11"S	47d18'59"W	135
SNED	15d39'59"S	38d57'19"W	6
SNEE	28d25'55"S	51d1'22"W	900
SNEU	10d31'39"S	39d1'57"W	462
SNFE	21d25'54"S	45d55'59"W	875
SNFO	20d23'43"S	45d29'12"W	1017
SNFU	20d0'17"S	48d57'32"W	551
SNFX	6d38'25"S	51d59'24"W	200
SNGA	20d38'47"S	40d29'30"W	9
SNGB	9d50'1"S	45d22'2"W	450
SNGD	6d46'56"S	43d34'56"W	172
SNGG	9d3'34"S	44d22'9"W	325
SNGI	14d12'29"S	42d44'46"W	553
SNGN	8d50'4"S	36d28'17"W	772
SNGT	11d26'30"S	42d31'8"W	1082
SNGX	21d19'36"S	46d43'49"W	849
SNHS	8d3'41"S	38d19'43"W	470
SNIB	12d29'59"S	40d16'13"W	283
SNIC	11d20'24"S	41d50'49"W	784
SNIE	14d0'44"S	42d29'38"W	976
SNIG	6d20'52"S	39d17'55"W	213
SNIO	11d7'31"S	38d29'13"W	223
SNIP	15d14'40"S	40d16'38"W	270
SNIT	12d9'52"S	43d13'32"W	422
SNIU	14d10'24"S	39d41'3"W	132
SNJB	11d9'47"S	40d33'12"W	489
SDIY	12d12'2"S	38d54'23"W	238
SNJK	13d52'40"S	40d4'17"W	197
SNJ	20d15'35"S	42d11'2"W	829
SNJN	15d28'29"S	44d23'11"W	480
SNJO	7d5'30"S	34d50'31"W	6
SNJP	17d47'15"S	46d7'12"W	911
SNJQ	16d28'20"S	41d1'30"W	260
SNJR	21d5'8"S	44d13'31"W	945
SNKC	14d10'2"S	44d33'2"W	613
SNKD	19d1'13"S	43d26'2"W	669
SNKE	9d20'7"S	50d21'1"W	182
SNKF	20d44'19"S	43d47'53"W	1057
SNKI	20d50'7"S	41d11'11"W	78
SNKK	6d26'21"S	37d4'41"W	182
SNKN	6d16'51"S	36d32'26"W	365
SNKO	12d1'15"S	42d37'30"W	813
SNKR	10d27'7"S	45d8'11"W	473
SNKS	10d59'21"S	44d30'55"W	458
SNKU	9d54'11"S	39d1'58"W	372
SNLI	19d9'26"S	45d29'45"W	664
SNLN	19d21'19"S	40d4'10"W	40
SNLO	22d5'30"S	45d2'43"W	875
SNLT	8d9'59"S	41d9'14"W	360
SNA	1d59'48"S	54d4'17"W	99
SNC	13d1'30"S	42d40'20"W	641
SNH	15d50'53"S	48d58'49"W	785
SNJ	13d23'10"S	40d27'58"W	962
SNK	15d5'36"S	43d58'46"W	463
SN	18d35'38"S	45d21'11"W	606
SNN	17d14'2"S	42d35'2"W	750
SNR	14d7'2"S	38d59'2"W	20
SNX	18d43'17"S	39d50'1"W	30
SNZ	1d44'29"S	52d14'9"W	16
SNNE	21d32'32"S	43d1'16"W	403
SNNH	14d18'12"S	43d46'32"W	452
SNNU	17d49'23"S	40d19'47"W	210
SNOB	3d40'42"S	40d20'13"W	64
SNOC	11d32'4"S	41d10'47"W	1100
SNOE	7d1'8"S	42d10'2"W	250
SNOF	22d17'51"S	46d23'36"W	859
SNOS	20d44'0"S	46d39'35"W	822
SNOU	8d8'27"S	70d20'50"W	120
SNOX	1d42'49"S	55d50'9"W	80
SNPA	19d50'33"S	44d36'3"W	839
SNPC	7d3'55"S	41d31'10"W	320
SNPD	18d40'20"S	46d29'29"W	851
SNPE	10d16'2"S	36d34'1"W	60
SNPI	13d9'56"S	41d46'19"W	1267
SNPJ	18d54'33"S	46d58'58"W	984
SNPO	19d12'12"S	45d1'24"W	705
SNPQ	8d22'27"S	36d38'16"W	630
SBCZ	7d35'58"S	72d46'10"W	194
SNPX	17d19'1"S	44d51'37"W	551
SNPY	20d56'57"S	46d59'3"W	948
SNPZ	16d4'2"S	41d10'2"W	800
SNQD	6d47'8"S	38d14'2"W	272
SNQG	6d50'45"S	43d4'39"W	210
SNQU	13d1'54"S	41d26'40"W	1056
SNQV	18d44'58"S	44d27'29"W	672
SNQX	4d58'1"S	39d0'1"W	199
SNRA*	7d13'52"S	60d38'56"W	60
SNRD	17d17'49"S	39d16'19"W	27
SNR	9d34'48"S	42d6'57"W	405
SNRP	19d12'45"S	46d14'26"W	1145
SNRS	4d56'21"S	38d0'43"W	35
SNRU	8d17'4"S	36d0'39"W	576
SNRX	7d21'1"S	46d38'2"W	400
SNRZ	20d42'52"S	44d51'55"W	982
SNSE	9d45'27"S	41d51'18"W	398
SNSG	8d2'48"S	39d8'2"W	469
SNSI	18d11'55"S	42d27'58"W	480
SNS	0d41'49"S	47d20'16"W	27
SNSO	18d36'40"S	43d25'26"W	740
SNSS	16d12'28"S	42d19'18"W	763
SNST	12d5'50"S	41d38'26"W	816
SNSW	0d41'52"S	48d31'10"W	13
SNTF	17d31'28"S	39d40'6"W	105
SNTI	1d52'5"S	55d30'52"W	100
SNTK	18d43'2"S	47d28'59"W	885
